任务ID,项目ID,任务标题,任务状态,进度百分比,优先级,执行人,协作人,故事点,预估工时,剩余工时,开始日期,截止日期,完成日期,阻塞原因,下一步动作,备注
WI-001,PRJ-001,模板版本识别规则开发,进行中,65,P0,技术A,技术B,5,16,6,2026-04-15,2026-04-20,,,完成边界条件与异常样本回归,核心开发项
WI-002,PRJ-001,别名字典配置页,待开始,0,P1,技术B,技术A,3,12,12,2026-04-18,2026-04-24,,等待字段别名清单确认,确认清单后开始前后端联调,依赖字段定义
WI-003,PRJ-001,客户样本回收与标注,进行中,70,P1,市场A,老板,2,8,2,2026-04-15,2026-04-19,,,补齐3个高频模板样本,市场协同
WI-004,PRJ-001,识别结果验收,待开始,0,P1,老板,市场B,2,6,6,2026-04-22,2026-04-24,,依赖WI-001完成,准备验收清单和通过标准,验收节点
WI-005,PRJ-001,模板版本识别接口联调,待开始,0,P0,技术B,技术A,3,10,10,2026-04-20,2026-04-23,,依赖WI-001接口输出,完成前后端联调并修复首轮问题,联调阶段
WI-006,PRJ-001,线上灰度样本验证,待开始,0,P1,技术A,市场A,2,6,6,2026-04-24,2026-04-26,,依赖WI-004验收通过,灰度10份样本并记录准确率,上线前验证
WI-007,PRJ-002,线索导入字段标准定义,进行中,40,P0,市场A,市场B,2,6,4,2026-04-20,2026-04-23,,,冻结V1字段标准,项目启动项
WI-008,PRJ-002,导入模板与校验规则配置,待开始,0,P1,技术B,市场A,3,10,10,2026-04-23,2026-04-28,,依赖WI-007字段冻结,完成导入校验规则,规则配置
WI-009,PRJ-001,输入资料包规范文档与校验清单落地,进行中,30,P0,技术A,技术B,2,6,4,2026-04-15,2026-04-16,,,输出接入规范文档并绑定验收项,对应REQ-004
WI-010,PRJ-001,steel-cylinder-v1字段五类类型映射整理,进行中,55,P0,技术A,老板,3,8,4,2026-04-15,2026-04-17,,,联调检验员/审核员签名名->jpg预览与勾选字段显示验收,对应REQ-005；已完成输入侧类型渲染首版
WI-011,PRJ-001,输出资料包占位规则与字段来源定义,待开始,0,P0,技术B,技术A,3,8,8,2026-04-16,2026-04-18,,依赖WI-010字段类型清单,定义output manifest/template/rules与占位映射,对应REQ-006
WI-012,PRJ-001,多选记录导出数据源范围控制（含附表明细）,待开始,0,P0,技术B,技术A,3,10,10,2026-04-17,2026-04-20,,依赖WI-011规则定义完成,实现仅使用选中记录作为导出数据源,对应REQ-006
WI-013,PRJ-001,OCR与四字段字典协同归一实现（含严格模式开关）,进行中,35,P0,技术A,技术B,3,8,5,2026-04-15,2026-04-17,,,保持OCR主链路，字典仅辅助归一并可配置严格模式,对应REQ-007
WI-014,PRJ-001,模板包API规范化核对与缺口清单,进行中,30,P0,技术B,技术A,2,6,4,2026-04-15,2026-04-16,,,核对输入/输出bundle API是否去写死并给出缺口方案,对应REQ-008
